#HistoryID	ComplaintID	Action	OldStatus	NewStatus	OldPriority	NewPriority	ChangedBy	Remarks	Timestamp
HIST-1787639324422	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-25 11:58:44
HIST-1787639389899	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-25 11:59:49
HIST-1787639389943	CMP-TEST-001	STATUS_CHANGE	OPEN	RESOLVED	HIGH	HIGH	Technician	Replaced faulty power adapter	2026-08-25 11:59:49
HIST-1787639389947	CMP-TEST-001	DELETED	RESOLVED	DELETED	HIGH	-	Admin	Complaint permanently removed	2026-08-25 11:59:49
HIST-1787639664739	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-25 12:04:24
HIST-1787639664763	CMP-TEST-001	STATUS_CHANGE	OPEN	RESOLVED	HIGH	HIGH	Technician	Replaced faulty power adapter	2026-08-25 12:04:24
HIST-1787639664766	CMP-TEST-001	DELETED	RESOLVED	DELETED	HIGH	-	Admin	Complaint permanently removed	2026-08-25 12:04:24
HIST-1787639990661	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-25 12:09:50
HIST-1787639990683	CMP-TEST-001	STATUS_CHANGE	OPEN	RESOLVED	HIGH	HIGH	Technician	Replaced faulty power adapter	2026-08-25 12:09:50
HIST-1787639990688	CMP-TEST-001	DELETED	RESOLVED	DELETED	HIGH	-	Admin	Complaint permanently removed	2026-08-25 12:09:50
HIST-1787640305168	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-25 12:15:05
HIST-1787640305200	CMP-TEST-001	STATUS_CHANGE	OPEN	RESOLVED	HIGH	HIGH	Technician	Replaced faulty power adapter	2026-08-25 12:15:05
HIST-1787640305203	CMP-TEST-001	DELETED	RESOLVED	DELETED	HIGH	-	Admin	Complaint permanently removed	2026-08-25 12:15:05
HIST-1787640416423	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-25 12:16:56
HIST-1787640416463	CMP-TEST-001	STATUS_CHANGE	OPEN	RESOLVED	HIGH	HIGH	Technician	Replaced faulty power adapter	2026-08-25 12:16:56
HIST-1787640416467	CMP-TEST-001	DELETED	RESOLVED	DELETED	HIGH	-	Admin	Complaint permanently removed	2026-08-25 12:16:56
HIST-1787640449826	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-25 12:17:29
HIST-1787640449847	CMP-TEST-001	STATUS_CHANGE	OPEN	RESOLVED	HIGH	HIGH	Technician	Replaced faulty power adapter	2026-08-25 12:17:29
HIST-1787640449850	CMP-TEST-001	DELETED	RESOLVED	DELETED	HIGH	-	Admin	Complaint permanently removed	2026-08-25 12:17:29
HIST-1787761716479	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-26 21:58:36
HIST-1787761716507	CMP-TEST-001	STATUS_CHANGE	OPEN	RESOLVED	HIGH	HIGH	Technician	Replaced faulty power adapter	2026-08-26 21:58:36
HIST-1787761716510	CMP-TEST-001	DELETED	RESOLVED	DELETED	HIGH	-	Admin	Complaint permanently removed	2026-08-26 21:58:36
HIST-1787761962203	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-26 22:02:42
HIST-1787761962231	CMP-TEST-001	STATUS_CHANGE	OPEN	RESOLVED	HIGH	HIGH	Technician	Replaced faulty power adapter	2026-08-26 22:02:42
HIST-1787761962236	CMP-TEST-001	DELETED	RESOLVED	DELETED	HIGH	-	Admin	Complaint permanently removed	2026-08-26 22:02:42
HIST-1787761995827	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-26 22:03:15
HIST-1787761995856	CMP-TEST-001	STATUS_CHANGE	OPEN	RESOLVED	HIGH	HIGH	Technician	Replaced faulty power adapter	2026-08-26 22:03:15
HIST-1787761995859	CMP-TEST-001	DELETED	RESOLVED	DELETED	HIGH	-	Admin	Complaint permanently removed	2026-08-26 22:03:15
HIST-1787762041179	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-26 22:04:01
HIST-1787762041206	CMP-TEST-001	STATUS_CHANGE	OPEN	RESOLVED	HIGH	HIGH	Technician	Replaced faulty power adapter	2026-08-26 22:04:01
HIST-1787762041212	CMP-TEST-001	DELETED	RESOLVED	DELETED	HIGH	-	Admin	Complaint permanently removed	2026-08-26 22:04:01
HIST-1787762084354	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-26 22:04:44
HIST-1787762084381	CMP-TEST-001	STATUS_CHANGE	OPEN	RESOLVED	HIGH	HIGH	Technician	Replaced faulty power adapter	2026-08-26 22:04:44
HIST-1787762084385	CMP-TEST-001	DELETED	RESOLVED	DELETED	HIGH	-	Admin	Complaint permanently removed	2026-08-26 22:04:44
HST-518	CMP-118	STATUS_UPDATE	NEW	IN_PROGRESS	CRITICAL	CRITICAL	STAFF-AUTO	System Coordinator	1786457941227	Status updated to In Progress
HST-19	CMP-119	COMPLAINT_SUBMITTED		NEW		LOW	CUST-04	Emily Clark	1786465141227	Initial ticket creation.
HST-519	CMP-119	STATUS_UPDATE	NEW	RESOLVED	LOW	LOW	STAFF-AUTO	System Coordinator	1786479541227	Status updated to Resolved
HST-20	CMP-120	COMPLAINT_SUBMITTED		NEW		CRITICAL	CUST-05	Michael Scott	1786486741227	Initial ticket creation.
HST-520	CMP-120	STATUS_UPDATE	NEW	CLOSED	CRITICAL	CRITICAL	STAFF-AUTO	System Coordinator	1786501141227	Status updated to Closed
HST-21	CMP-121	COMPLAINT_SUBMITTED		NEW		MEDIUM	CUST-01	John Doe	1786508341227	Initial ticket creation.
HST-521	CMP-121	STATUS_UPDATE	NEW	ESCALATED	MEDIUM	MEDIUM	STAFF-AUTO	System Coordinator	1786522741227	Status updated to Escalated
HST-22	CMP-122	COMPLAINT_SUBMITTED		NEW		HIGH	CUST-02	Alice Smith	1786529941227	Initial ticket creation.
HST-522	CMP-122	STATUS_UPDATE	NEW	WAITING_FOR_CUSTOMER	HIGH	HIGH	STAFF-AUTO	System Coordinator	1786544341227	Status updated to Waiting for Customer
HST-23	CMP-123	COMPLAINT_SUBMITTED		NEW		LOW	CUST-03	Robert Brown	1786551541227	Initial ticket creation.
HST-523	CMP-123	STATUS_UPDATE	NEW	REOPENED	LOW	LOW	STAFF-AUTO	System Coordinator	1786565941227	Status updated to Reopened
HST-24	CMP-124	COMPLAINT_SUBMITTED		NEW		HIGH	CUST-04	Emily Clark	1786573141227	Initial ticket creation.
HST-25	CMP-125	COMPLAINT_SUBMITTED		NEW		MEDIUM	CUST-05	Michael Scott	1786594741227	Initial ticket creation.
HST-525	CMP-125	STATUS_UPDATE	NEW	ASSIGNED	MEDIUM	MEDIUM	STAFF-AUTO	System Coordinator	1786609141227	Status updated to Assigned
HST-26	CMP-126	COMPLAINT_SUBMITTED		NEW		CRITICAL	CUST-01	John Doe	1786616341227	Initial ticket creation.
HST-526	CMP-126	STATUS_UPDATE	NEW	IN_PROGRESS	CRITICAL	CRITICAL	STAFF-AUTO	System Coordinator	1786630741227	Status updated to In Progress
HST-27	CMP-127	COMPLAINT_SUBMITTED		NEW		LOW	CUST-02	Alice Smith	1786637941227	Initial ticket creation.
HST-527	CMP-127	STATUS_UPDATE	NEW	RESOLVED	LOW	LOW	STAFF-AUTO	System Coordinator	1786652341227	Status updated to Resolved
HST-28	CMP-128	COMPLAINT_SUBMITTED		NEW		CRITICAL	CUST-03	Robert Brown	1786659541227	Initial ticket creation.
HST-528	CMP-128	STATUS_UPDATE	NEW	CLOSED	CRITICAL	CRITICAL	STAFF-AUTO	System Coordinator	1786673941227	Status updated to Closed
HST-29	CMP-129	COMPLAINT_SUBMITTED		NEW		MEDIUM	CUST-04	Emily Clark	1786681141227	Initial ticket creation.
HST-529	CMP-129	STATUS_UPDATE	NEW	ESCALATED	MEDIUM	MEDIUM	STAFF-AUTO	System Coordinator	1786695541227	Status updated to Escalated
HST-30	CMP-130	COMPLAINT_SUBMITTED		NEW		HIGH	CUST-05	Michael Scott	1786702741227	Initial ticket creation.
HST-530	CMP-130	STATUS_UPDATE	NEW	WAITING_FOR_CUSTOMER	HIGH	HIGH	STAFF-AUTO	System Coordinator	1786717141227	Status updated to Waiting for Customer
HST-31	CMP-131	COMPLAINT_SUBMITTED		NEW		LOW	CUST-01	John Doe	1786724341227	Initial ticket creation.
HST-531	CMP-131	STATUS_UPDATE	NEW	REOPENED	LOW	LOW	STAFF-AUTO	System Coordinator	1786738741227	Status updated to Reopened
HST-32	CMP-132	COMPLAINT_SUBMITTED		NEW		HIGH	CUST-02	Alice Smith	1786745941227	Initial ticket creation.
HST-33	CMP-133	COMPLAINT_SUBMITTED		NEW		MEDIUM	CUST-03	Robert Brown	1786767541227	Initial ticket creation.
HST-533	CMP-133	STATUS_UPDATE	NEW	ASSIGNED	MEDIUM	MEDIUM	STAFF-AUTO	System Coordinator	1786781941227	Status updated to Assigned
HST-34	CMP-134	COMPLAINT_SUBMITTED		NEW		CRITICAL	CUST-04	Emily Clark	1786789141227	Initial ticket creation.
HST-534	CMP-134	STATUS_UPDATE	NEW	IN_PROGRESS	CRITICAL	CRITICAL	STAFF-AUTO	System Coordinator	1786803541227	Status updated to In Progress
HST-35	CMP-135	COMPLAINT_SUBMITTED		NEW		LOW	CUST-05	Michael Scott	1786810741227	Initial ticket creation.
HST-535	CMP-135	STATUS_UPDATE	NEW	RESOLVED	LOW	LOW	STAFF-AUTO	System Coordinator	1786825141227	Status updated to Resolved
HST-36	CMP-136	COMPLAINT_SUBMITTED		NEW		CRITICAL	CUST-01	John Doe	1786832341227	Initial ticket creation.
HST-536	CMP-136	STATUS_UPDATE	NEW	CLOSED	CRITICAL	CRITICAL	STAFF-AUTO	System Coordinator	1786846741227	Status updated to Closed
HST-37	CMP-137	COMPLAINT_SUBMITTED		NEW		MEDIUM	CUST-02	Alice Smith	1786853941227	Initial ticket creation.
HST-537	CMP-137	STATUS_UPDATE	NEW	ESCALATED	MEDIUM	MEDIUM	STAFF-AUTO	System Coordinator	1786868341227	Status updated to Escalated
HST-38	CMP-138	COMPLAINT_SUBMITTED		NEW		HIGH	CUST-03	Robert Brown	1786875541227	Initial ticket creation.
HST-538	CMP-138	STATUS_UPDATE	NEW	WAITING_FOR_CUSTOMER	HIGH	HIGH	STAFF-AUTO	System Coordinator	1786889941227	Status updated to Waiting for Customer
HST-39	CMP-139	COMPLAINT_SUBMITTED		NEW		LOW	CUST-04	Emily Clark	1786897141227	Initial ticket creation.
HST-539	CMP-139	STATUS_UPDATE	NEW	REOPENED	LOW	LOW	STAFF-AUTO	System Coordinator	1786911541227	Status updated to Reopened
HST-40	CMP-140	COMPLAINT_SUBMITTED		NEW		HIGH	CUST-05	Michael Scott	1786918741227	Initial ticket creation.
HST-41	CMP-141	COMPLAINT_SUBMITTED		NEW		MEDIUM	CUST-01	John Doe	1786940341227	Initial ticket creation.
HST-541	CMP-141	STATUS_UPDATE	NEW	ASSIGNED	MEDIUM	MEDIUM	STAFF-AUTO	System Coordinator	1786954741227	Status updated to Assigned
HST-42	CMP-142	COMPLAINT_SUBMITTED		NEW		CRITICAL	CUST-02	Alice Smith	1786961941227	Initial ticket creation.
HST-542	CMP-142	STATUS_UPDATE	NEW	IN_PROGRESS	CRITICAL	CRITICAL	STAFF-AUTO	System Coordinator	1786976341227	Status updated to In Progress
HST-43	CMP-143	COMPLAINT_SUBMITTED		NEW		LOW	CUST-03	Robert Brown	1786983541227	Initial ticket creation.
HST-543	CMP-143	STATUS_UPDATE	NEW	RESOLVED	LOW	LOW	STAFF-AUTO	System Coordinator	1786997941227	Status updated to Resolved
HST-44	CMP-144	COMPLAINT_SUBMITTED		NEW		CRITICAL	CUST-04	Emily Clark	1787005141227	Initial ticket creation.
HST-544	CMP-144	STATUS_UPDATE	NEW	CLOSED	CRITICAL	CRITICAL	STAFF-AUTO	System Coordinator	1787019541227	Status updated to Closed
HST-45	CMP-145	COMPLAINT_SUBMITTED		NEW		MEDIUM	CUST-05	Michael Scott	1787026741227	Initial ticket creation.
HST-545	CMP-145	STATUS_UPDATE	NEW	ESCALATED	MEDIUM	MEDIUM	STAFF-AUTO	System Coordinator	1787041141227	Status updated to Escalated
HST-46	CMP-146	COMPLAINT_SUBMITTED		NEW		HIGH	CUST-01	John Doe	1787048341227	Initial ticket creation.
HST-546	CMP-146	STATUS_UPDATE	NEW	WAITING_FOR_CUSTOMER	HIGH	HIGH	STAFF-AUTO	System Coordinator	1787062741227	Status updated to Waiting for Customer
HST-47	CMP-147	COMPLAINT_SUBMITTED		NEW		LOW	CUST-02	Alice Smith	1787069941227	Initial ticket creation.
HST-547	CMP-147	STATUS_UPDATE	NEW	REOPENED	LOW	LOW	STAFF-AUTO	System Coordinator	1787084341227	Status updated to Reopened
HST-48	CMP-148	COMPLAINT_SUBMITTED		NEW		HIGH	CUST-03	Robert Brown	1787091541227	Initial ticket creation.
HST-49	CMP-149	COMPLAINT_SUBMITTED		NEW		MEDIUM	CUST-04	Emily Clark	1787113141227	Initial ticket creation.
HST-549	CMP-149	STATUS_UPDATE	NEW	ASSIGNED	MEDIUM	MEDIUM	STAFF-AUTO	System Coordinator	1787127541227	Status updated to Assigned
HST-50	CMP-150	COMPLAINT_SUBMITTED		NEW		CRITICAL	CUST-05	Michael Scott	1787134741227	Initial ticket creation.
HST-550	CMP-150	STATUS_UPDATE	NEW	IN_PROGRESS	CRITICAL	CRITICAL	STAFF-AUTO	System Coordinator	1787149141227	Status updated to In Progress
HST-51	CMP-151	COMPLAINT_SUBMITTED		NEW		LOW	CUST-01	John Doe	1787156341227	Initial ticket creation.
HST-551	CMP-151	STATUS_UPDATE	NEW	RESOLVED	LOW	LOW	STAFF-AUTO	System Coordinator	1787170741227	Status updated to Resolved
HST-52	CMP-152	COMPLAINT_SUBMITTED		NEW		CRITICAL	CUST-02	Alice Smith	1787177941227	Initial ticket creation.
HST-552	CMP-152	STATUS_UPDATE	NEW	CLOSED	CRITICAL	CRITICAL	STAFF-AUTO	System Coordinator	1787192341227	Status updated to Closed
HST-53	CMP-153	COMPLAINT_SUBMITTED		NEW		MEDIUM	CUST-03	Robert Brown	1787199541227	Initial ticket creation.
HST-553	CMP-153	STATUS_UPDATE	NEW	ESCALATED	MEDIUM	MEDIUM	STAFF-AUTO	System Coordinator	1787213941227	Status updated to Escalated
HST-54	CMP-154	COMPLAINT_SUBMITTED		NEW		HIGH	CUST-04	Emily Clark	1787221141227	Initial ticket creation.
HST-554	CMP-154	STATUS_UPDATE	NEW	WAITING_FOR_CUSTOMER	HIGH	HIGH	STAFF-AUTO	System Coordinator	1787235541227	Status updated to Waiting for Customer
HST-55	CMP-155	COMPLAINT_SUBMITTED		NEW		LOW	CUST-05	Michael Scott	1787242741227	Initial ticket creation.
HST-555	CMP-155	STATUS_UPDATE	NEW	REOPENED	LOW	LOW	STAFF-AUTO	System Coordinator	1787257141227	Status updated to Reopened
HST-56	CMP-156	COMPLAINT_SUBMITTED		NEW		HIGH	CUST-01	John Doe	1787264341227	Initial ticket creation.
HST-57	CMP-157	COMPLAINT_SUBMITTED		NEW		MEDIUM	CUST-02	Alice Smith	1787285941227	Initial ticket creation.
HST-557	CMP-157	STATUS_UPDATE	NEW	ASSIGNED	MEDIUM	MEDIUM	STAFF-AUTO	System Coordinator	1787300341227	Status updated to Assigned
HST-58	CMP-158	COMPLAINT_SUBMITTED		NEW		CRITICAL	CUST-03	Robert Brown	1787307541227	Initial ticket creation.
HST-558	CMP-158	STATUS_UPDATE	NEW	IN_PROGRESS	CRITICAL	CRITICAL	STAFF-AUTO	System Coordinator	1787321941227	Status updated to In Progress
HST-59	CMP-159	COMPLAINT_SUBMITTED		NEW		LOW	CUST-04	Emily Clark	1787329141227	Initial ticket creation.
HST-559	CMP-159	STATUS_UPDATE	NEW	RESOLVED	LOW	LOW	STAFF-AUTO	System Coordinator	1787343541227	Status updated to Resolved
HST-60	CMP-160	COMPLAINT_SUBMITTED		NEW		CRITICAL	CUST-05	Michael Scott	1787350741227	Initial ticket creation.
HST-560	CMP-160	STATUS_UPDATE	NEW	CLOSED	CRITICAL	CRITICAL	STAFF-AUTO	System Coordinator	1787365141227	Status updated to Closed
HST-61	CMP-161	COMPLAINT_SUBMITTED		NEW		MEDIUM	CUST-01	John Doe	1787372341227	Initial ticket creation.
HST-561	CMP-161	STATUS_UPDATE	NEW	ESCALATED	MEDIUM	MEDIUM	STAFF-AUTO	System Coordinator	1787386741227	Status updated to Escalated
HST-62	CMP-162	COMPLAINT_SUBMITTED		NEW		HIGH	CUST-02	Alice Smith	1787393941227	Initial ticket creation.
HST-562	CMP-162	STATUS_UPDATE	NEW	WAITING_FOR_CUSTOMER	HIGH	HIGH	STAFF-AUTO	System Coordinator	1787408341227	Status updated to Waiting for Customer
HST-63	CMP-163	COMPLAINT_SUBMITTED		NEW		LOW	CUST-03	Robert Brown	1787415541227	Initial ticket creation.
HST-563	CMP-163	STATUS_UPDATE	NEW	REOPENED	LOW	LOW	STAFF-AUTO	System Coordinator	1787429941227	Status updated to Reopened
HST-64	CMP-164	COMPLAINT_SUBMITTED		NEW		HIGH	CUST-04	Emily Clark	1787437141227	Initial ticket creation.
HST-65	CMP-165	COMPLAINT_SUBMITTED		NEW		MEDIUM	CUST-05	Michael Scott	1787458741227	Initial ticket creation.
